Country, AIMEO1, AIMPP1, AIMEO2, AIMEO3, AIMPP3, AIMPP2, CEPM2, CEPM3, CEPM1, CG3, CG2, CG1, GREP1, GREP2, ITPEP1, ITPEP2, IIP2, IIP1, IIP3, PALPD3, PALPD1, PALPD2, PAJB3, PAJB1, PAJB2, PEEG1, PEEG3, PEEG2, VPE2, VENL3, IEF2, IFE1
Albania, 10.4, 14.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.3, 0.0, 0.0, 57.3, 57.0, 0.0, 57.1, 0.0, 0.0, 40.4, 0.0, 0.0, 19.3, 0.0, 0.0, 3.7, 0.0, 42.2, 0.0, 0.0, 0.0, 0.0, 0.0, 63.8
Algeria, 4.4, 5.6, 0.0, 2.3, 3.1, 0.0, 0.0, 27.2, 0.0, 33.9, 0.0, 50.900000000000006, 0.0, 0.0, 0.0, 0.0, 0.0, 23.7, 36.099999999999994, 15.7, 18.5, 0.0, 4.2, 7.0, 4.2, 29.3, 31.2, 0.0, 0.0, 59.3, 0.0, 0.0
Argentina, 2.2, 4.5, 8.7, 10.4, 10.3, 9.1, 55.0, 47.1, 57.7, 31.599999999999998, 36.9, 18.8, 83.4, 82.8, 39.5, 41.6, 21.700000000000003, 18.2, 32.4, 14.1, 12.7, 16.3, 2.6, 1.8, 2.6, 41.4, 54.2, 69.0, 77.3, 91.9, 54.0, 64.5
Bangladesh, 20.3, 23.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 0.0, 86.5, 95.2, 0.0, 69.30000000000001, 0.0, 0.0, 39.0, 0.0, 0.0, 6.3, 0.0, 0.0, 5.3, 0.0, 50.4, 0.0, 0.0, 0.0, 0.0, 0.0, 72.6
Bosnia Herzegovina, 1.9, 7.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 49.599999999999994, 0.0, 0.0, 29.4, 60.7, 0.0, 68.0, 0.0, 0.0, 39.0, 0.0, 0.0, 8.6, 0.0, 0.0, 6.2, 0.0, 40.5, 0.0, 0.0, 0.0, 0.0, 0.0, 73.1
Canada, 9.1, 6.3, 16.5, 0.0, 0.0, 17.4, 69.39999999999999, 0.0, 64.8, 0.0, 36.699999999999996, 40.6, 61.7, 59.7, 57.0, 64.0, 52.300000000000004, 48.4, 0.0, 0.0, 19.2, 25.4, 0.0, 20.1, 0.0, 61.5, 0.0, 68.1, 72.9, 0.0, 71.3, 68.6
Chile, 3.0, 2.4, 13.5, 8.3, 9.6, 13.8, 56.1, 64.7, 61.4, 33.6, 45.900000000000006, 56.900000000000006, 71.5, 81.9, 60.900000000000006, 48.1, 21.9, 24.9, 25.3, 23.1, 15.1, 16.7, 4.0, 4.9, 4.0, 48.0, 66.7, 62.0, 72.7, 78.7, 51.3, 68.1
China, 1.2, 8.3, 12.7, 2.4, 6.9, 14.100000000000001, 57.0, 56.699999999999996, 72.9, 84.6, 87.6, 95.2, 31.5, 34.8, 64.9, 63.900000000000006, 61.900000000000006, 67.5, 45.5, 1.7, 0.0, 0.0, 2.6, 0.0, 2.6, 51.8, 56.6, 53.6, 0.0, 12.7, 73.0, 73.3
India, 7.0, 11.4, 59.4, 13.5, 22.700000000000003, 66.3, 38.7, 58.2, 33.3, 45.7, 44.0, 48.5, 40.8, 47.7, 39.1, 45.400000000000006, 39.099999999999994, 41.4, 36.9, 18.4, 18.8, 15.0, 12.9, 10.5, 12.9, 34.2, 58.4, 37.3, 90.5, 94.3, 50.5, 49.5
Japan, 3.2, 3.5, 4.5, 3.3, 5.2, 6.4, 50.1, 33.7, 50.0, 24.3, 29.1, 25.400000000000002, 43.8, 48.2, 52.3, 46.0, 63.400000000000006, 62.5, 65.5, 3.6, 9.6, 8.0, 1.4, 6.6, 1.4, 34.0, 22.7, 36.4, 74.5, 89.3, 55.1, 56.4
